stratum,finite_cloud_status,continuous_certificate_status,queries
signal=constant|knots=100|cap=0.25,BELOW,BELOW,80
signal=constant|knots=100|cap=0.25,BELOW,UNRESOLVED,0
signal=constant|knots=100|cap=0.25,BELOW,ABOVE,0
signal=constant|knots=100|cap=0.25,UNRESOLVED,BELOW,0
signal=constant|knots=100|cap=0.25,UNRESOLVED,UNRESOLVED,0
signal=constant|knots=100|cap=0.25,UNRESOLVED,ABOVE,0
signal=constant|knots=100|cap=0.25,ABOVE,BELOW,0
signal=constant|knots=100|cap=0.25,ABOVE,UNRESOLVED,40
signal=constant|knots=100|cap=0.25,ABOVE,ABOVE,40
signal=constant|knots=100|cap=0.5,BELOW,BELOW,80
signal=constant|knots=100|cap=0.5,BELOW,UNRESOLVED,0
signal=constant|knots=100|cap=0.5,BELOW,ABOVE,0
signal=constant|knots=100|cap=0.5,UNRESOLVED,BELOW,0
signal=constant|knots=100|cap=0.5,UNRESOLVED,UNRESOLVED,0
signal=constant|knots=100|cap=0.5,UNRESOLVED,ABOVE,0
signal=constant|knots=100|cap=0.5,ABOVE,BELOW,0
signal=constant|knots=100|cap=0.5,ABOVE,UNRESOLVED,40
signal=constant|knots=100|cap=0.5,ABOVE,ABOVE,40
signal=constant|knots=100|cap=0.9,BELOW,BELOW,70
signal=constant|knots=100|cap=0.9,BELOW,UNRESOLVED,10
signal=constant|knots=100|cap=0.9,BELOW,ABOVE,0
signal=constant|knots=100|cap=0.9,UNRESOLVED,BELOW,0
signal=constant|knots=100|cap=0.9,UNRESOLVED,UNRESOLVED,0
signal=constant|knots=100|cap=0.9,UNRESOLVED,ABOVE,0
signal=constant|knots=100|cap=0.9,ABOVE,BELOW,0
signal=constant|knots=100|cap=0.9,ABOVE,UNRESOLVED,40
signal=constant|knots=100|cap=0.9,ABOVE,ABOVE,40
signal=constant|knots=25|cap=0.25,BELOW,BELOW,80
signal=constant|knots=25|cap=0.25,BELOW,UNRESOLVED,0
signal=constant|knots=25|cap=0.25,BELOW,ABOVE,0
signal=constant|knots=25|cap=0.25,UNRESOLVED,BELOW,0
signal=constant|knots=25|cap=0.25,UNRESOLVED,UNRESOLVED,0
signal=constant|knots=25|cap=0.25,UNRESOLVED,ABOVE,0
signal=constant|knots=25|cap=0.25,ABOVE,BELOW,0
signal=constant|knots=25|cap=0.25,ABOVE,UNRESOLVED,30
signal=constant|knots=25|cap=0.25,ABOVE,ABOVE,50
signal=constant|knots=25|cap=0.5,BELOW,BELOW,80
signal=constant|knots=25|cap=0.5,BELOW,UNRESOLVED,0
signal=constant|knots=25|cap=0.5,BELOW,ABOVE,0
signal=constant|knots=25|cap=0.5,UNRESOLVED,BELOW,0
signal=constant|knots=25|cap=0.5,UNRESOLVED,UNRESOLVED,0
signal=constant|knots=25|cap=0.5,UNRESOLVED,ABOVE,0
signal=constant|knots=25|cap=0.5,ABOVE,BELOW,0
signal=constant|knots=25|cap=0.5,ABOVE,UNRESOLVED,30
signal=constant|knots=25|cap=0.5,ABOVE,ABOVE,50
signal=constant|knots=25|cap=0.9,BELOW,BELOW,70
signal=constant|knots=25|cap=0.9,BELOW,UNRESOLVED,10
signal=constant|knots=25|cap=0.9,BELOW,ABOVE,0
signal=constant|knots=25|cap=0.9,UNRESOLVED,BELOW,0
signal=constant|knots=25|cap=0.9,UNRESOLVED,UNRESOLVED,0
signal=constant|knots=25|cap=0.9,UNRESOLVED,ABOVE,0
signal=constant|knots=25|cap=0.9,ABOVE,BELOW,0
signal=constant|knots=25|cap=0.9,ABOVE,UNRESOLVED,30
signal=constant|knots=25|cap=0.9,ABOVE,ABOVE,50
signal=crabs_primates_ebd|knots=100|cap=0.25,BELOW,BELOW,80
signal=crabs_primates_ebd|knots=100|cap=0.25,BELOW,UNRESOLVED,0
signal=crabs_primates_ebd|knots=100|cap=0.25,BELOW,ABOVE,0
signal=crabs_primates_ebd|knots=100|cap=0.25,UNRESOLVED,BELOW,0
signal=crabs_primates_ebd|knots=100|cap=0.25,UNRESOLVED,UNRESOLVED,20
signal=crabs_primates_ebd|knots=100|cap=0.25,UNRESOLVED,ABOVE,0
signal=crabs_primates_ebd|knots=100|cap=0.25,ABOVE,BELOW,0
signal=crabs_primates_ebd|knots=100|cap=0.25,ABOVE,UNRESOLVED,10
signal=crabs_primates_ebd|knots=100|cap=0.25,ABOVE,ABOVE,50
signal=crabs_primates_ebd|knots=100|cap=0.5,BELOW,BELOW,70
signal=crabs_primates_ebd|knots=100|cap=0.5,BELOW,UNRESOLVED,0
signal=crabs_primates_ebd|knots=100|cap=0.5,BELOW,ABOVE,0
